hex_id,value
8519432bfffffff,7
8519432ffffffff,9
85194333fffffff,14
85194337fffffff,11
8519433bfffffff,11
85194343fffffff,13
85194347fffffff,24
8519434bfffffff,43
8519434ffffffff,70
85194353fffffff,11
85194357fffffff,10
8519435bfffffff,72
85194363fffffff,32
85194367fffffff,33
8519436bfffffff,20
8519436ffffffff,27
85194373fffffff,19
85194377fffffff,9
8519437bfffffff,13
85194383fffffff,37
85194387fffffff,1
8519438bfffffff,8
8519438ffffffff,8
85194393fffffff,13
85194397fffffff,2
8519439bfffffff,12
851943a3fffffff,11
851943a7fffffff,4
851943abfffffff,8
851943affffffff,19
851943b3fffffff,6
851943b7fffffff,9
851943bbfffffff,21
851943c3fffffff,18
851943c7fffffff,9
851943cbfffffff,28
851943cffffffff,15
851943d3fffffff,42
851943d7fffffff,9
851943dbfffffff,9
85194603fffffff,13
85194607fffffff,6
8519460bfffffff,28
8519460ffffffff,3
85194617fffffff,34
8519461bfffffff,28
85194623fffffff,9
85194627fffffff,22
8519462bfffffff,22
8519462ffffffff,4
85194633fffffff,13
85194637fffffff,4
8519463bfffffff,23
85194643fffffff,13
85194647fffffff,37
8519464bfffffff,18
8519464ffffffff,48
85194653fffffff,26
85194657fffffff,98
8519465bfffffff,55
85194663fffffff,18
85194667fffffff,11
8519466bfffffff,12
8519466ffffffff,16
85194673fffffff,4
85194677fffffff,12
8519467bfffffff,27
851946abfffffff,7
851946affffffff,31
851946cbfffffff,40
851946cffffffff,35
85194843fffffff,34
8519484bfffffff,23
8519484ffffffff,12
85194853fffffff,26
85194857fffffff,42
8519485bfffffff,36
851948c3fffffff,47
851948cbfffffff,15
851948cffffffff,48
85194a03fffffff,6
85194a07fffffff,29
85194a0bfffffff,11
85194a0ffffffff,28
85194a13fffffff,15
85194a17fffffff,6
85194a1bfffffff,11
85194a43fffffff,14
85194a47fffffff,15
85194a4bfffffff,22
85194a4ffffffff,17
85194a53fffffff,15
85194a57fffffff,21
85194a5bfffffff,18
85194a73fffffff,160
85194a7bfffffff,35
85194a83fffffff,72
85194a87fffffff,18
85194a8bfffffff,67
85194a8ffffffff,17
85194a93fffffff,95
85194a97fffffff,30
85194a9bfffffff,40
85194aa3fffffff,28
85194aabfffffff,6
85194ab3fffffff,28
85194abbfffffff,14
85194ac3fffffff,84
85194ac7fffffff,22
85194acbfffffff,66
85194acffffffff,57
85194ad3fffffff,549
85194ad7fffffff,59
85194adbfffffff,305
85194c4bfffffff,7
85194c53fffffff,1
85194c5bfffffff,14
85194e03fffffff,38
85194e07fffffff,12
85194e0bfffffff,18
85194e0ffffffff,7
85194e13fffffff,20
85194e17fffffff,28
85194e1bfffffff,15
85194e23fffffff,1
85194e27fffffff,15
85194e2bfffffff,21
85194e2ffffffff,24
85194e3bfffffff,23
85194e43fffffff,14
85194e47fffffff,45
85194e4bfffffff,69
85194e4ffffffff,63
85194e53fffffff,25
85194e57fffffff,11
85194e5bfffffff,16
85194e63fffffff,54
85194e67fffffff,63
85194e6bfffffff,96
85194e6ffffffff,73
85194e73fffffff,5
85194e77fffffff,24
85194e7bfffffff,47
85194e83fffffff,22
85194e87fffffff,56
85194e8bfffffff,8
85194e8ffffffff,9
85194e93fffffff,6
85194e97fffffff,19
85194e9bfffffff,11
85194ea3fffffff,1
85194eabfffffff,2
85194eb3fffffff,11
85194ec3fffffff,20
85194ec7fffffff,10
85194ecbfffffff,51
85194ecffffffff,18
85194ed3fffffff,9
85194ed7fffffff,19
85194edbfffffff,13
85195087fffffff,7
85195097fffffff,16
851950b3fffffff,2
851950b7fffffff,1
851950d3fffffff,3
85195103fffffff,39
85195107fffffff,283
8519510ffffffff,35
85195113fffffff,36
85195117fffffff,28
85195123fffffff,69
85195127fffffff,24
8519512bfffffff,46
8519512ffffffff,35
85195133fffffff,27
85195137fffffff,15
8519513bfffffff,61
85195163fffffff,4
85195167fffffff,7
8519516bfffffff,13
8519516ffffffff,2
85195173fffffff,9
85195177fffffff,23
8519517bfffffff,20
85195183fffffff,74
85195187fffffff,87
8519518bfffffff,75
8519518ffffffff,46
85195193fffffff,10
85195197fffffff,77
8519519bfffffff,25
851951a3fffffff,73
851951a7fffffff,28
851951abfffffff,96
851951affffffff,22
851951b3fffffff,116
851951b7fffffff,289
851951bbfffffff,65
851951d7fffffff,70
85195203fffffff,5
8519520bfffffff,2
85195217fffffff,4
8519521bfffffff,3
85195243fffffff,9
85195247fffffff,5
85195253fffffff,1
8519525bfffffff,1
85195273fffffff,4
8519527bfffffff,1
8519528bfffffff,4
8519528ffffffff,7
85195293fffffff,3
8519529bfffffff,16
851952bbfffffff,1
851952c3fffffff,3
851952c7fffffff,4
851952cffffffff,4
851952d3fffffff,2
851952d7fffffff,30
851952dbfffffff,1
85195307fffffff,5
85195317fffffff,2
85195323fffffff,1
85195327fffffff,8
8519532ffffffff,6
85195333fffffff,3
85195337fffffff,3
851953a3fffffff,22
851953a7fffffff,11
851953abfffffff,6
851953affffffff,16
851953b7fffffff,15
851953bbfffffff,8
85195403fffffff,2
85195413fffffff,1
8519541bfffffff,1
85195423fffffff,1
85195427fffffff,2
8519542bfffffff,2
8519542ffffffff,7
85195433fffffff,6
85195437fffffff,1
8519543bfffffff,13
8519544bfffffff,2
85195453fffffff,4
8519545bfffffff,29
85195467fffffff,3
8519546ffffffff,3
85195473fffffff,1
85195477fffffff,1
8519547bfffffff,2
85195487fffffff,1
85195493fffffff,2
85195497fffffff,1
851954a3fffffff,1
851954a7fffffff,1
851954abfffffff,3
851954affffffff,3
851954c7fffffff,1
851954d3fffffff,14
851954d7fffffff,2
851954dbfffffff,35
85195507fffffff,3
8519550bfffffff,2
8519550ffffffff,17
85195513fffffff,3
85195517fffffff,5
8519551bfffffff,2
85195523fffffff,5
85195527fffffff,16
8519552bfffffff,4
8519552ffffffff,22
85195533fffffff,1
85195537fffffff,8
8519553bfffffff,8
85195543fffffff,2
85195547fffffff,25
8519554bfffffff,12
8519554ffffffff,1
85195553fffffff,9
8519555bfffffff,11
85195563fffffff,4
85195567fffffff,35
8519556bfffffff,12
85195573fffffff,2
85195577fffffff,11
8519557bfffffff,17
85195583fffffff,1
85195587fffffff,16
85195593fffffff,1
85195597fffffff,6
8519559bfffffff,1
851955a3fffffff,7
851955a7fffffff,3
851955abfffffff,9
851955affffffff,4
851955b3fffffff,7
851955b7fffffff,23
851955bbfffffff,2
851955c7fffffff,1
851955cbfffffff,1
851955cffffffff,19
851955d3fffffff,4
851955d7fffffff,1
851955dbfffffff,20
85195623fffffff,1
85195627fffffff,1
85195633fffffff,9
85195637fffffff,1
8519564bfffffff,6
8519564ffffffff,3
85195663fffffff,1
85195667fffffff,3
8519566ffffffff,2
85195687fffffff,3
8519569bfffffff,4
851956b3fffffff,2
851956c3fffffff,2
851956c7fffffff,3
85195803fffffff,15
85195807fffffff,3
8519580bfffffff,10
8519580ffffffff,22
85195813fffffff,27
85195817fffffff,36
8519581bfffffff,18
85195823fffffff,17
85195827fffffff,28
8519582bfffffff,6
8519582ffffffff,18
85195833fffffff,5
85195837fffffff,17
8519583bfffffff,23
85195843fffffff,24
85195847fffffff,50
8519584bfffffff,15
8519584ffffffff,37
85195853fffffff,1
85195857fffffff,12
8519585bfffffff,8
85195863fffffff,16
85195867fffffff,19
8519586bfffffff,50
8519586ffffffff,31
85195873fffffff,25
85195877fffffff,10
8519587bfffffff,76
85195883fffffff,26
85195887fffffff,28
8519588bfffffff,9
8519588ffffffff,49
85195893fffffff,9
85195897fffffff,7
8519589bfffffff,31
851958a3fffffff,21
851958a7fffffff,48
851958abfffffff,12
851958affffffff,26
851958b3fffffff,17
851958b7fffffff,39
851958bbfffffff,32
851958c3fffffff,16
851958c7fffffff,6
851958cbfffffff,8
851958cffffffff,3
851958d3fffffff,11
